image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
278,278,2,TRUE,-1,0,1,0
279,279,2,TRUE,-1,0,1,0
280,280,1,TRUE,-1,0,1,0
281,281,2,TRUE,-1,0,1,0
282,282,2,TRUE,-1,0,1,0
283,283,1,TRUE,-1,0,1,0
284,284,3,TRUE,-1,0,1,0
285,285,1,TRUE,-1,0,1,0
286,286,3,TRUE,-1,0,1,0
287,287,2,TRUE,-1,0,1,0
288,288,3,TRUE,-1,0,1,0
289,289,2,TRUE,-1,0,1,0
290,290,2,TRUE,-1,0,1,0
291,291,1,TRUE,-1,0,1,0
292,292,1,TRUE,-1,0,1,0
293,293,1,TRUE,-1,0,1,0
294,294,1,TRUE,-1,0,1,0
295,295,1,TRUE,-1,0,1,0
296,296,2,TRUE,-1,0,1,0
297,297,2,TRUE,-1,0,1,0
298,298,1,TRUE,-1,0,1,0
299,299,2,TRUE,-1,0,1,0
300,300,1,TRUE,-1,0,1,0
301,301,2,TRUE,-1,0,1,0
302,302,1,TRUE,-1,0,1,0
303,303,1,TRUE,-1,0,1,0
304,304,2,TRUE,-1,0,1,0
305,305,2,TRUE,-1,0,1,0
306,306,2,TRUE,-1,0,1,0
307,307,1,TRUE,-1,0,1,0
308,308,1,TRUE,-1,0,1,0
309,309,2,TRUE,-1,0,1,0
310,310,2,TRUE,-1,0,1,0
311,311,1,TRUE,-1,0,1,0
312,312,2,TRUE,-1,0,1,0
313,313,2,TRUE,-1,0,1,0
314,314,3,TRUE,-1,0,1,0
315,315,2,TRUE,-1,0,1,0
316,316,1,TRUE,-1,0,1,0
317,317,3,TRUE,-1,0,1,0
318,318,4,TRUE,-1,0,1,0
319,319,4,TRUE,-1,0,1,0
320,320,2,TRUE,-1,0,1,0
321,321,2,TRUE,-1,0,1,0
322,322,2,TRUE,-1,0,1,0
323,323,2,TRUE,-1,0,1,0
324,324,2,TRUE,-1,0,1,0
325,325,2,TRUE,-1,0,1,0
326,326,2,TRUE,-1,0,1,0
327,327,2,TRUE,-1,0,1,0
328,328,3,TRUE,-1,0,1,0
329,329,1,TRUE,-1,0,1,0
330,330,2,TRUE,-1,0,1,0
331,331,2,TRUE,-1,0,1,0
332,332,2,TRUE,-1,0,1,0
333,333,1,TRUE,-1,0,1,0
334,334,2,TRUE,-1,0,1,0
335,335,2,TRUE,-1,0,1,0
336,336,3,TRUE,-1,0,1,0
337,337,1,TRUE,-1,0,1,0
338,338,2,TRUE,-1,0,1,0
339,339,2,TRUE,-1,0,1,0
340,340,3,TRUE,-1,0,1,0
341,341,2,TRUE,-1,0,1,0
342,342,2,TRUE,-1,0,1,0
343,343,2,TRUE,-1,0,1,0
344,344,2,TRUE,-1,0,1,0
345,345,1,TRUE,-1,0,1,0
346,346,3,TRUE,-1,0,1,0
347,347,1,TRUE,-1,0,1,0
348,348,1,TRUE,-1,0,1,0
349,349,2,TRUE,-1,0,1,0
350,350,3,TRUE,-1,0,1,0
351,351,1,TRUE,-1,0,1,0
352,352,2,TRUE,-1,0,1,0
353,353,3,TRUE,-1,0,1,0
354,354,2,TRUE,-1,0,1,0
355,355,1,TRUE,-1,0,1,0
356,356,1,TRUE,-1,0,1,0
357,357,3,TRUE,-1,0,1,0
358,358,3,TRUE,-1,0,1,0
359,359,3,TRUE,-1,0,1,0
360,360,1,TRUE,-1,0,1,0
361,361,3,TRUE,-1,0,1,0
362,362,3,TRUE,-1,0,1,0
363,363,1,TRUE,-1,0,1,0
364,364,2,TRUE,-1,0,1,0
365,365,1,TRUE,-1,0,1,0
366,366,2,TRUE,-1,0,1,0
367,367,1,TRUE,-1,0,1,0
368,368,1,TRUE,-1,0,1,0
369,369,2,TRUE,-1,0,1,0
370,370,3,TRUE,-1,0,1,0
371,371,3,TRUE,-1,0,1,0
372,372,2,TRUE,-1,0,1,0
373,373,1,TRUE,-1,0,1,0
374,374,1,TRUE,-1,0,1,0
375,375,3,TRUE,-1,0,1,0
376,376,2,TRUE,-1,0,1,0
377,377,2,TRUE,-1,0,1,0
378,378,1,TRUE,-1,0,1,0
379,379,2,TRUE,-1,0,1,0
380,380,1,TRUE,-1,0,1,0
381,381,1,TRUE,-1,0,1,0
382,382,2,TRUE,-1,0,1,0
383,383,1,TRUE,-1,0,1,0
384,384,3,TRUE,-1,0,1,0
385,385,2,TRUE,-1,0,1,0
386,386,2,TRUE,-1,0,1,0
387,387,2,TRUE,-1,0,1,0
388,388,3,TRUE,-1,0,1,0
389,389,2,TRUE,-1,0,1,0
390,390,2,TRUE,-1,0,1,0
391,391,2,TRUE,-1,0,1,0
392,392,2,TRUE,-1,0,1,0
393,393,3,TRUE,-1,0,1,0
394,394,2,TRUE,-1,0,1,0
395,395,3,TRUE,-1,0,1,0
396,396,1,TRUE,-1,0,1,0
397,397,2,TRUE,-1,0,1,0
398,398,2,TRUE,-1,0,1,0
399,399,1,TRUE,-1,0,1,0
400,400,2,TRUE,-1,0,1,0
401,401,2,TRUE,-1,0,1,0
402,402,2,TRUE,-1,0,1,0
403,403,2,TRUE,-1,0,1,0
404,404,2,TRUE,-1,0,1,0
405,405,1,TRUE,-1,0,1,0
406,406,2,TRUE,-1,0,1,0
407,407,2,TRUE,-1,0,1,0
408,408,3,TRUE,-1,0,1,0
409,409,3,TRUE,-1,0,1,0
410,410,2,TRUE,-1,0,1,0
411,411,2,TRUE,-1,0,1,0
412,412,2,TRUE,-1,0,1,0
413,413,2,TRUE,-1,0,1,0
414,414,3,TRUE,-1,0,1,0
