image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
487,487,"(42, 153)",5,True,-1
488,488,"(180, 70)",5,True,-1
489,489,"(42, 153)",5,True,-1
490,490,"(111, 194)",2,True,-1
491,491,"(42, 153)",3,True,-1
492,492,"(111, 28)",4,True,-1
493,493,"(180, 153)",3,True,-1
494,494,"(42, 70)",6,True,-1
495,495,"(111, 194)",2,True,-1
496,496,"(111, 194)",5,True,-1
497,497,"(180, 153)",3,True,-1
498,498,"(180, 70)",5,True,-1
499,499,"(111, 194)",4,True,-1
500,500,"(180, 70)",6,True,-1
501,501,"(111, 194)",2,True,-1
502,502,"(111, 194)",2,True,-1
503,503,"(42, 153)",5,True,-1
504,504,"(180, 70)",5,True,-1
505,505,"(42, 153)",5,True,-1
506,506,"(111, 194)",1,True,-1
507,507,"(180, 153)",5,True,-1
508,508,"(42, 70)",5,True,-1
509,509,"(180, 153)",4,True,-1
510,510,"(180, 153)",6,True,-1
511,511,"(111, 194)",4,True,-1
512,512,"(42, 153)",3,True,-1
513,513,"(180, 153)",4,True,-1
514,514,"(111, 28)",3,True,-1
515,515,"(111, 28)",3,True,-1
516,516,"(111, 194)",3,True,-1
517,517,"(180, 153)",5,True,-1
518,518,"(42, 153)",5,True,-1
519,519,"(180, 153)",4,True,-1
520,520,"(111, 194)",3,True,-1
521,521,"(180, 153)",6,True,-1
522,522,"(180, 70)",5,True,-1
523,523,"(111, 28)",3,True,-1
524,524,"(111, 28)",5,True,-1
525,525,"(42, 70)",4,True,-1
526,526,"(111, 194)",2,True,-1
527,527,"(180, 153)",5,True,-1
528,528,"(180, 153)",4,True,-1
529,529,"(111, 194)",5,True,-1
530,530,"(42, 70)",5,True,-1
531,531,"(111, 194)",6,True,-1
532,532,"(42, 153)",3,True,-1
533,533,"(42, 70)",3,True,-1
534,534,"(180, 153)",5,True,-1
535,535,"(42, 70)",5,True,-1
536,536,"(111, 194)",4,True,-1
537,537,"(42, 70)",5,True,-1
538,538,"(180, 153)",6,True,-1
539,539,"(180, 70)",5,True,-1
540,540,"(111, 28)",6,True,-1
541,541,"(42, 153)",5,True,-1
542,542,"(180, 70)",4,True,-1
543,543,"(42, 153)",4,True,-1
544,544,"(111, 28)",4,True,-1
545,545,"(180, 153)",6,True,-1
546,546,"(180, 70)",5,True,-1
547,547,"(42, 70)",5,True,-1
548,548,"(42, 70)",4,True,-1
549,549,"(111, 28)",3,True,-1
550,550,"(42, 153)",4,True,-1
551,551,"(111, 28)",4,True,-1
552,552,"(180, 153)",5,True,-1
553,553,"(111, 194)",1,True,-1
554,554,"(111, 194)",4,True,-1
555,555,"(111, 194)",5,True,-1
