image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
407,407,"(42, 153)",3,True,-1
408,408,"(111, 194)",1,True,-1
409,409,"(111, 28)",1,True,-1
410,410,"(180, 153)",1,True,-1
411,411,"(111, 28)",1,True,-1
412,412,"(180, 70)",2,True,-1
413,413,"(111, 194)",1,True,-1
414,414,"(111, 194)",1,True,-1
415,415,"(180, 70)",2,True,-1
416,416,"(180, 153)",3,True,-1
417,417,"(180, 153)",3,True,-1
418,418,"(180, 70)",2,True,-1
419,419,"(111, 28)",2,True,-1
420,420,"(111, 28)",2,True,-1
421,421,"(180, 70)",3,True,-1
422,422,"(42, 70)",2,True,-1
423,423,"(42, 70)",1,True,-1
424,424,"(180, 70)",2,True,-1
425,425,"(42, 153)",1,True,-1
426,426,"(111, 194)",1,True,-1
427,427,"(111, 28)",1,True,-1
428,428,"(180, 70)",4,True,-1
429,429,"(180, 70)",3,True,-1
430,430,"(180, 153)",1,True,-1
431,431,"(42, 153)",2,True,-1
432,432,"(180, 70)",2,True,-1
433,433,"(180, 153)",1,True,-1
434,434,"(42, 153)",2,True,-1
435,435,"(180, 70)",2,True,-1
436,436,"(42, 70)",1,True,-1
437,437,"(180, 70)",2,True,-1
438,438,"(180, 153)",3,True,-1
439,439,"(42, 70)",2,True,-1
440,440,"(180, 153)",1,True,-1
441,441,"(42, 70)",2,True,-1
442,442,"(111, 194)",1,True,-1
443,443,"(111, 194)",1,True,-1
444,444,"(111, 28)",2,True,-1
445,445,"(180, 70)",2,True,-1
446,446,"(42, 70)",2,True,-1
447,447,"(111, 194)",1,True,-1
448,448,"(180, 70)",2,True,-1
449,449,"(42, 70)",2,True,-1
450,450,"(42, 153)",1,True,-1
451,451,"(180, 153)",3,True,-1
452,452,"(111, 28)",2,True,-1
453,453,"(42, 70)",1,True,-1
454,454,"(111, 28)",1,True,-1
455,455,"(180, 70)",2,True,-1
456,456,"(180, 153)",3,True,-1
457,457,"(111, 28)",2,True,-1
458,458,"(42, 70)",2,True,-1
459,459,"(42, 153)",1,True,-1
460,460,"(42, 70)",2,True,-1
461,461,"(111, 194)",2,True,-1
462,462,"(111, 28)",2,True,-1
463,463,"(180, 153)",1,True,-1
464,464,"(42, 153)",1,True,-1
465,465,"(180, 153)",2,True,-1
466,466,"(180, 70)",2,True,-1
467,467,"(42, 70)",2,True,-1
468,468,"(111, 194)",2,True,-1
469,469,"(111, 28)",2,True,-1
470,470,"(180, 153)",3,True,-1
471,471,"(111, 194)",1,True,-1
472,472,"(42, 70)",3,True,-1
473,473,"(111, 194)",1,True,-1
474,474,"(180, 70)",2,True,-1
475,475,"(111, 194)",1,True,-1
476,476,"(42, 153)",1,True,-1
477,477,"(180, 70)",2,True,-1
478,478,"(111, 194)",1,True,-1
479,479,"(42, 70)",2,True,-1
480,480,"(111, 194)",1,True,-1
481,481,"(180, 153)",3,True,-1
482,482,"(111, 28)",1,True,-1
483,483,"(42, 153)",2,True,-1
484,484,"(42, 153)",1,True,-1
485,485,"(42, 153)",2,True,-1
486,486,"(42, 153)",3,True,-1
487,487,"(111, 28)",2,True,-1
488,488,"(111, 28)",2,True,-1
489,489,"(42, 153)",1,True,-1
490,490,"(111, 194)",2,True,-1
491,491,"(42, 153)",1,True,-1
492,492,"(42, 153)",1,True,-1
493,493,"(180, 70)",2,True,-1
494,494,"(180, 70)",2,True,-1
495,495,"(111, 28)",2,True,-1
496,496,"(111, 194)",1,True,-1
497,497,"(180, 153)",2,True,-1
498,498,"(42, 70)",3,True,-1
499,499,"(42, 153)",1,True,-1
500,500,"(111, 194)",1,True,-1
501,501,"(111, 28)",1,True,-1
502,502,"(180, 153)",3,True,-1
503,503,"(42, 70)",2,True,-1
504,504,"(111, 28)",1,True,-1
505,505,"(42, 153)",2,True,-1
506,506,"(180, 153)",2,True,-1
507,507,"(42, 70)",2,True,-1
508,508,"(42, 70)",2,True,-1
509,509,"(111, 28)",1,True,-1
510,510,"(111, 194)",1,True,-1
511,511,"(111, 194)",1,True,-1
512,512,"(180, 70)",2,True,-1
513,513,"(111, 28)",2,True,-1
514,514,"(111, 194)",1,True,-1
515,515,"(111, 194)",1,True,-1
516,516,"(111, 28)",2,True,-1
517,517,"(180, 153)",1,True,-1
518,518,"(180, 153)",3,True,-1
519,519,"(42, 153)",1,True,-1
520,520,"(42, 70)",2,True,-1
521,521,"(180, 70)",3,True,-1
522,522,"(180, 70)",2,True,-1
523,523,"(42, 153)",3,True,-1
524,524,"(111, 28)",1,True,-1
525,525,"(180, 153)",1,True,-1
526,526,"(111, 194)",2,True,-1
527,527,"(180, 70)",2,True,-1
528,528,"(42, 153)",2,True,-1
529,529,"(180, 70)",2,True,-1
530,530,"(111, 28)",1,True,-1
531,531,"(111, 194)",1,True,-1
532,532,"(180, 153)",2,True,-1
533,533,"(42, 70)",1,True,-1
534,534,"(180, 70)",4,True,-1
535,535,"(111, 28)",1,True,-1
536,536,"(180, 153)",3,True,-1
537,537,"(180, 70)",2,True,-1
538,538,"(111, 194)",1,True,-1
539,539,"(111, 194)",1,True,-1
540,540,"(111, 28)",1,True,-1
541,541,"(42, 153)",1,True,-1
542,542,"(180, 153)",3,True,-1
543,543,"(111, 28)",2,True,-1
544,544,"(42, 153)",2,True,-1
545,545,"(42, 153)",1,True,-1
546,546,"(180, 70)",2,True,-1
547,547,"(111, 194)",2,True,-1
548,548,"(42, 70)",2,True,-1
