image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
2206,766,2,TRUE,1,1,0,1
2207,767,1,TRUE,-2,1,0,1
2208,768,2,TRUE,1,1,0,1
2209,769,2,TRUE,1,1,0,1
2210,770,2,TRUE,1,1,0,1
2211,771,3,TRUE,1,1,0,1
2212,772,2,TRUE,1,1,0,1
2213,773,2,TRUE,1,1,0,1
2214,774,2,TRUE,1,1,0,1
2215,775,2,TRUE,1,1,0,1
2216,776,2,TRUE,1,1,0,1
2217,777,2,TRUE,1,1,0,1
2218,778,3,TRUE,1,1,0,1
2219,779,2,TRUE,1,1,0,1
2220,780,2,TRUE,1,1,0,1
2221,781,2,TRUE,1,1,0,1
2222,782,2,TRUE,1,1,0,1
2223,783,2,TRUE,1,1,0,1
2224,784,2,TRUE,1,1,0,1
2225,785,2,TRUE,1,1,0,1
2226,786,2,TRUE,1,1,0,1
2227,787,2,TRUE,1,1,0,1
2228,788,2,TRUE,1,1,0,1
2229,789,2,TRUE,1,1,0,1
2230,790,2,TRUE,1,1,0,1
2231,791,2,TRUE,1,1,0,1
2232,792,2,TRUE,1,1,0,1
2233,793,2,TRUE,1,1,0,1
2234,794,2,TRUE,1,1,0,1
2235,795,3,TRUE,1,1,0,1
2236,796,2,TRUE,1,1,0,1
2237,797,2,TRUE,1,1,0,1
2238,798,2,TRUE,1,1,0,1
2239,799,2,TRUE,1,1,0,1
2240,800,2,TRUE,1,1,0,1
2241,801,2,TRUE,1,1,0,1
2242,802,2,TRUE,1,1,0,1
2243,803,2,TRUE,1,1,0,1
2244,804,2,TRUE,1,1,0,1
2245,805,2,TRUE,1,1,0,1
2246,806,2,TRUE,1,1,0,1
2247,807,2,TRUE,1,1,0,1
2248,808,2,TRUE,1,1,0,1
2249,809,2,TRUE,1,1,0,1
2250,810,2,TRUE,1,1,0,1
2251,811,2,TRUE,1,1,0,1
2252,812,2,TRUE,1,1,0,1
2253,813,2,TRUE,1,1,0,1
2254,814,2,TRUE,1,1,0,1
2255,815,2,TRUE,1,1,0,1
2256,816,2,TRUE,1,1,0,1
2257,817,2,TRUE,1,1,0,1
2258,818,2,TRUE,1,1,0,1
2259,819,1,TRUE,-2,1,0,1
2260,820,2,TRUE,1,1,0,1
2261,821,2,TRUE,1,1,0,1
2262,822,2,TRUE,1,1,0,1
2263,823,2,TRUE,1,1,0,1
2264,824,2,TRUE,1,1,0,1
2265,825,2,TRUE,1,1,0,1
2266,826,2,TRUE,1,1,0,1
2267,827,2,TRUE,1,1,0,1
2268,828,2,TRUE,1,1,0,1
2269,829,2,TRUE,1,1,0,1
2270,830,2,TRUE,1,1,0,1
2271,831,2,TRUE,1,1,0,1
2272,832,2,TRUE,1,1,0,1
2273,833,2,TRUE,1,1,0,1
2274,834,2,TRUE,1,1,0,1
2275,835,2,TRUE,1,1,0,1
2276,836,2,TRUE,1,1,0,1
2277,837,2,TRUE,1,1,0,1
2278,838,2,TRUE,1,1,0,1
2279,839,2,TRUE,1,1,0,1
2280,840,2,TRUE,1,1,0,1
2281,841,2,TRUE,1,1,0,1
2282,842,2,TRUE,1,1,0,1
2283,843,2,TRUE,1,1,0,1
2284,844,2,TRUE,1,1,0,1
2285,845,2,TRUE,1,1,0,1
2286,846,2,TRUE,1,1,0,1
2287,847,2,TRUE,1,1,0,1
2288,848,2,TRUE,1,1,0,1
2289,849,2,TRUE,1,1,0,1
2290,850,2,TRUE,1,1,0,1
2291,851,2,TRUE,1,1,0,1
2292,852,2,TRUE,1,1,0,1
2293,853,2,TRUE,1,1,0,1
2294,854,2,TRUE,1,1,0,1
2295,855,2,TRUE,1,1,0,1
2296,856,2,TRUE,1,1,0,1
2297,857,2,TRUE,1,1,0,1
2298,858,2,TRUE,1,1,0,1
2299,859,2,TRUE,1,1,0,1
2300,860,1,TRUE,-2,1,0,1
2301,861,2,TRUE,1,1,0,1
2302,862,2,TRUE,1,1,0,1
2303,863,1,TRUE,-2,1,0,1
2304,864,2,TRUE,1,1,0,1
2305,865,2,TRUE,1,1,0,1
2306,866,2,TRUE,1,1,0,1
2307,867,2,TRUE,1,1,0,1
2308,868,2,TRUE,1,1,0,1
2309,869,2,TRUE,1,1,0,1
2310,870,2,TRUE,1,1,0,1
2311,871,2,TRUE,1,1,0,1
2312,872,2,TRUE,1,1,0,1
2313,873,2,TRUE,1,1,0,1
2314,874,2,TRUE,1,1,0,1
2315,875,2,TRUE,1,1,0,1
2316,876,2,TRUE,1,1,0,1
2317,877,2,TRUE,1,1,0,1
2318,878,2,TRUE,1,1,0,1
2319,879,2,TRUE,1,1,0,1
2320,880,2,TRUE,1,1,0,1
2321,881,2,TRUE,1,1,0,1
2322,882,2,TRUE,1,1,0,1
2323,883,2,TRUE,1,1,0,1
2324,884,2,TRUE,1,1,0,1
2325,885,2,TRUE,1,1,0,1
2326,886,2,TRUE,1,1,0,1
2327,887,2,TRUE,1,1,0,1
2328,888,2,TRUE,1,1,0,1
2329,889,2,TRUE,1,1,0,1
2330,890,2,TRUE,1,1,0,1
2331,891,2,TRUE,1,1,0,1
2332,892,2,TRUE,1,1,0,1
2333,893,2,TRUE,1,1,0,1
2334,894,2,TRUE,1,1,0,1
2335,895,2,TRUE,1,1,0,1
2336,896,2,TRUE,1,1,0,1
2337,897,2,TRUE,1,1,0,1
2338,898,2,TRUE,1,1,0,1
2339,899,2,TRUE,1,1,0,1
2340,900,2,TRUE,1,1,0,1
2341,901,2,TRUE,1,1,0,1
2342,902,2,TRUE,1,1,0,1
2343,903,2,TRUE,1,1,0,1
2344,904,2,TRUE,1,1,0,1
2345,905,2,TRUE,1,1,0,1
2346,906,2,TRUE,1,1,0,1
2347,907,2,TRUE,1,1,0,1
2348,908,2,TRUE,1,1,0,1
2349,909,2,TRUE,1,1,0,1
2350,910,2,TRUE,1,1,0,1
2351,911,1,TRUE,-2,1,0,1
2352,912,2,TRUE,1,1,0,1
2353,913,2,TRUE,1,1,0,1
2354,914,2,TRUE,1,1,0,1
2355,915,2,TRUE,1,1,0,1
2356,916,2,TRUE,1,1,0,1
2357,917,3,TRUE,1,1,0,1
2358,918,2,TRUE,1,1,0,1
2359,919,2,TRUE,1,1,0,1
2360,920,2,TRUE,1,1,0,1
2361,921,1,TRUE,-2,1,0,1
2362,922,2,TRUE,1,1,0,1
2363,923,2,TRUE,1,1,0,1
2364,924,2,TRUE,1,1,0,1
2365,925,2,TRUE,1,1,0,1
2366,926,2,TRUE,1,1,0,1
2367,927,2,TRUE,1,1,0,1
2368,928,2,TRUE,1,1,0,1
2369,929,2,TRUE,1,1,0,1
2370,930,2,TRUE,1,1,0,1
2371,931,2,TRUE,1,1,0,1
2372,932,2,TRUE,1,1,0,1
2373,933,2,TRUE,1,1,0,1
2374,934,2,TRUE,1,1,0,1
2375,935,2,TRUE,1,1,0,1
2376,936,2,TRUE,1,1,0,1
2377,937,2,TRUE,1,1,0,1
2378,938,2,TRUE,1,1,0,1
2379,939,2,TRUE,1,1,0,1
2380,940,2,TRUE,1,1,0,1
2381,941,2,TRUE,1,1,0,1
2382,942,2,TRUE,1,1,0,1
2383,943,2,TRUE,1,1,0,1
2384,944,2,TRUE,1,1,0,1
2385,945,2,TRUE,1,1,0,1
2386,946,2,TRUE,1,1,0,1
2387,947,1,TRUE,-2,1,0,1
2388,948,2,TRUE,1,1,0,1
2389,949,2,TRUE,1,1,0,1
2390,950,2,TRUE,1,1,0,1
2391,951,2,TRUE,1,1,0,1
2392,952,2,TRUE,1,1,0,1
2393,953,2,TRUE,1,1,0,1
2394,954,2,TRUE,1,1,0,1
2395,955,2,TRUE,1,1,0,1
2396,956,2,TRUE,1,1,0,1
2397,957,2,TRUE,1,1,0,1
2398,958,2,TRUE,1,1,0,1
2399,959,2,TRUE,1,1,0,1
2400,960,2,TRUE,1,1,0,1
2401,961,2,TRUE,1,1,0,1
2402,962,2,TRUE,1,1,0,1
2403,963,2,TRUE,1,1,0,1
2404,964,2,TRUE,1,1,0,1
2405,965,2,TRUE,1,1,0,1
2406,966,2,TRUE,1,1,0,1
2407,967,2,TRUE,1,1,0,1
2408,968,2,TRUE,1,1,0,1
2409,969,2,TRUE,1,1,0,1
2410,970,2,TRUE,1,1,0,1
2411,971,2,TRUE,1,1,0,1
2412,972,2,TRUE,1,1,0,1
2413,973,2,TRUE,1,1,0,1
2414,974,2,TRUE,1,1,0,1
2415,975,2,TRUE,1,1,0,1
2416,976,2,TRUE,1,1,0,1
2417,977,2,TRUE,1,1,0,1
2418,978,2,TRUE,1,1,0,1
2419,979,2,TRUE,1,1,0,1
2420,980,2,TRUE,1,1,0,1
2421,981,2,TRUE,1,1,0,1
2422,982,2,TRUE,1,1,0,1
2423,983,2,TRUE,1,1,0,1
2424,984,2,TRUE,1,1,0,1
2425,985,2,TRUE,1,1,0,1
2426,986,2,TRUE,1,1,0,1
2427,987,2,TRUE,1,1,0,1
2428,988,2,TRUE,1,1,0,1
2429,989,2,TRUE,1,1,0,1
2430,990,2,TRUE,1,1,0,1
2431,991,2,TRUE,1,1,0,1
2432,992,2,TRUE,1,1,0,1
2433,993,2,TRUE,1,1,0,1
2434,994,2,TRUE,1,1,0,1
2435,995,2,TRUE,1,1,0,1
2436,996,2,TRUE,1,1,0,1
2437,997,2,TRUE,1,1,0,1
2438,998,2,TRUE,1,1,0,1
2439,999,2,TRUE,1,1,0,1
2440,1000,2,TRUE,1,1,0,1
2441,1001,2,TRUE,1,1,0,1
2442,1002,2,TRUE,1,1,0,1
2443,1003,2,TRUE,1,1,0,1
2444,1004,2,TRUE,1,1,0,1
2445,1005,2,TRUE,1,1,0,1
2446,1006,2,TRUE,1,1,0,1
2447,1007,2,TRUE,1,1,0,1
2448,1008,2,TRUE,1,1,0,1
2449,1009,2,TRUE,1,1,0,1
2450,1010,2,TRUE,1,1,0,1
2451,1011,2,TRUE,1,1,0,1
2452,1012,2,TRUE,1,1,0,1
2453,1013,2,TRUE,1,1,0,1
2454,1014,2,TRUE,1,1,0,1
2455,1015,2,TRUE,1,1,0,1
2456,1016,2,TRUE,1,1,0,1
2457,1017,2,TRUE,1,1,0,1
2458,1018,2,TRUE,1,1,0,1
2459,1019,2,TRUE,1,1,0,1
2460,1020,2,TRUE,1,1,0,1
2461,1021,2,TRUE,1,1,0,1
2462,1022,2,TRUE,1,1,0,1
2463,1023,2,TRUE,1,1,0,1
2464,1024,2,TRUE,1,1,0,1
2465,1025,2,TRUE,1,1,0,1
2466,1026,1,TRUE,-2,1,0,1
2467,1027,2,TRUE,1,1,0,1
2468,1028,2,TRUE,1,1,0,1
2469,1029,2,TRUE,1,1,0,1
2470,1030,2,TRUE,1,1,0,1
2471,1031,2,TRUE,1,1,0,1
2472,1032,2,TRUE,1,1,0,1
2473,1033,1,TRUE,-2,1,0,1
2474,1034,2,TRUE,1,1,0,1
2475,1035,2,TRUE,1,1,0,1
2476,1036,2,TRUE,1,1,0,1
